type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,30.0,null,NEW,false,null,null,2022-12-29T21:40:35.569+00:00,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,100.0,null,NEW,false,null,null,2022-12-29T21:41:19.200+00:00,null
CALORIES_BURNED_GOAL,DAILY,2000.0,10.0,INPROGRESS_SO_FAR_MISSED,false,2024-02-12,2024-02-13,2022-07-24T17:05:48.000+00:00,null
STEPS_GOAL,DAILY,7500.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-02-12,2024-02-13,2022-07-24T17:05:48.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,5.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-02-12,2024-02-13,2022-07-24T17:05:48.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,2.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-02-12,2024-02-13,2022-07-24T17:05:48.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-02-12,2024-02-13,2022-07-24T17:05:48.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,0.0,INPROGRESS_SO_FAR_MISSED,true,2024-02-11,2024-02-18,2022-07-24T17:05:48.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-02-11,2024-02-18,2022-07-24T17:05:48.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-02-11,2024-02-18,2022-07-24T17:05:48.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,16051.0,2580.0,INPROGRESS_SO_FAR_MISSED,false,2024-02-11,2024-02-18,2022-07-24T17:05:48.000+00:00,null
WATER_GOAL,DAILY,1893.0,355.0,INPROGRESS_SO_FAR_MISSED,false,2024-02-12,2024-02-13,2022-07-24T17:05:48.000+00:00,null
