date,readiness_score_value,readiness_state,activity_subcomponent,sleep_subcomponent,hrv_subcomponent,activity_state,sleep_state,hrv_state
2023-03-01,71.0,HIGH,71.0,93.0,43.0,LOW,HIGH,MEDIUM
2023-02-28,89.0,HIGH,89.0,88.0,42.0,LOW,HIGH,MEDIUM
2023-02-27,97.0,HIGH,97.0,85.0,43.0,LOW,HIGH,MEDIUM
2023-02-26,88.0,HIGH,88.0,71.0,41.0,LOW,HIGH,MEDIUM
2023-02-25,66.0,HIGH,66.0,75.0,42.0,LOW,HIGH,MEDIUM
2023-02-24,49.0,MEDIUM,49.0,68.0,41.0,MEDIUM,MEDIUM,MEDIUM
2023-02-23,83.0,HIGH,83.0,75.0,40.0,LOW,HIGH,MEDIUM
2023-02-22,78.0,HIGH,78.0,86.0,47.0,LOW,HIGH,MEDIUM
2023-02-21,54.0,MEDIUM,54.0,90.0,45.0,MEDIUM,HIGH,MEDIUM
2023-02-20,100.0,HIGH,100.0,78.0,37.0,LOW,HIGH,MEDIUM
2023-02-19,98.0,HIGH,98.0,87.0,39.0,LOW,HIGH,MEDIUM
2023-02-18,96.0,HIGH,96.0,87.0,41.0,LOW,HIGH,MEDIUM
2023-02-17,66.0,HIGH,66.0,91.0,42.0,LOW,HIGH,MEDIUM
2023-02-16,30.0,MEDIUM,30.0,94.0,44.0,MEDIUM,HIGH,MEDIUM
2023-02-15,38.0,MEDIUM,38.0,95.0,43.0,MEDIUM,HIGH,MEDIUM
2023-02-14,82.0,HIGH,82.0,89.0,54.0,LOW,HIGH,MEDIUM
2023-02-13,84.0,HIGH,84.0,87.0,55.0,LOW,HIGH,MEDIUM
2023-02-12,71.0,HIGH,71.0,87.0,63.0,LOW,HIGH,MEDIUM
2023-02-11,44.0,MEDIUM,44.0,91.0,61.0,MEDIUM,HIGH,MEDIUM
2023-02-10,1.0,LOW,0.0,87.0,68.0,HIGH,HIGH,MEDIUM
2023-02-09,1.0,LOW,0.0,88.0,74.0,HIGH,HIGH,HIGH
2023-02-08,27.0,LOW,27.0,74.0,52.0,HIGH,HIGH,MEDIUM
2023-02-07,89.0,HIGH,89.0,89.0,42.0,LOW,HIGH,MEDIUM
2023-02-06,100.0,HIGH,100.0,94.0,45.0,LOW,HIGH,MEDIUM
2023-02-05,93.0,HIGH,93.0,95.0,55.0,LOW,HIGH,MEDIUM
2023-02-04,91.0,HIGH,91.0,83.0,71.0,LOW,HIGH,HIGH
2023-02-03,76.0,HIGH,76.0,94.0,40.0,LOW,HIGH,MEDIUM
2023-02-02,51.0,MEDIUM,51.0,95.0,62.0,MEDIUM,HIGH,MEDIUM
2023-02-01,75.0,HIGH,75.0,89.0,34.0,LOW,HIGH,MEDIUM
