type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2022-09-02T00:05:30,2022-09-02T09:53,587,32.718228279386715,376.58091144699574,1238.7247067568824,0.5218839870487457,1.7411349087683698
IDT,2022-09-03T00:55:30,2022-09-03T09:18:30,500,32.58,251.65324654769756,1174.8987129959278,0.5295800500422222,1.7567365944652287
IDT,2022-09-04T00:05,2022-09-04T08:35,510,32.528627450980395,224.80826906811126,1161.4776428262703,0.5370604019168386,1.7364687951276212
IDT,2022-09-06T00:34:30,2022-09-06T08:57:30,491,32.96720977596741,429.36501650164973,1172.0491189317545,0.5488906517225635,1.6967650892355877
IDT,2022-09-07T02:07:30,2022-09-07T08:41:30,394,32.47944162436548,140.52691511387275,776.2048321608454,0.5547877445811252,1.6958981473015435
IDT,2022-09-08T00:05:30,2022-09-08T09:32:30,567,32.72486772486772,341.3869565217392,1079.8661976773292,0.5614026669854203,1.6941119033826715
IDT,2022-09-09T11:18:30,2022-09-09T16:13:30,293,31.154607508532422,-283.6728778467914,993.5889475283911,0.5395647572561268,1.6457415438297922
IDT,2022-09-10T00:25,2022-09-10T08:19:30,475,33.39915789473684,606.2821946169788,1508.4482937043067,0.5944946301378883,1.6494839901405858
IDT,2022-09-10T23:00:30,2022-09-11T08:15:30,540,32.881851851851856,409.90186335403996,2717.2894399648067,0.6011568662609362,1.6847810285035103
IDT,2022-09-12T00:26:30,2022-09-12T08:59:30,513,32.88830409356726,392.71677018633636,631.1262019213755,0.6168072841244451,1.6738612726083246
IDT,2022-09-13T00:20,2022-09-13T09:05,525,32.44514285714286,132.3458333333365,1109.7628182871267,0.6190777382551063,1.670551091606865
IDT,2022-09-14T00:03,2022-09-14T09:25:30,557,32.05170556552962,-39.585300207039836,1114.5241579758003,0.6093505318863454,1.6814734034024152
IDT,2022-09-15T01:52,2022-09-15T11:05,553,32.35081374321881,87.24027777777883,1424.065001928946,0.5998078537581637,1.6816752726355615
IDT,2022-09-16T00:12,2022-09-16T10:28:30,617,32.27228525121556,0.0,1149.536077795783,0.5844998676693419,1.659871642206614
