timestamp,bucket_values
2023-03-01T09:04:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.003, 0.014, 0.058, 0.14, 0.281, 0.264, 0.169, 0.056, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-02T08:05:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.007, 0.022, 0.098, 0.275, 0.368, 0.176, 0.037, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-03T08:28:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.005, 0.011, 0.019, 0.064, 0.187, 0.313, 0.254, 0.11, 0.026, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-04T07:34:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.007, 0.015, 0.043, 0.11, 0.285, 0.297, 0.165, 0.059, 0.012, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-05T10:10:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.003, 0.005, 0.021, 0.065, 0.163, 0.276, 0.293, 0.141, 0.026, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-06T07:58:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.007, 0.015, 0.032, 0.064, 0.192, 0.35, 0.233, 0.077, 0.02, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-07T09:38:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.006, 0.011, 0.04, 0.13, 0.24, 0.261, 0.184, 0.089, 0.025, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-07T16:04:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-08T08:22:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.007, 0.021, 0.056, 0.127, 0.207, 0.252, 0.21, 0.092, 0.018, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-09T09:03:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.005, 0.008, 0.033, 0.128, 0.22, 0.294, 0.212, 0.075, 0.019, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-10T08:37:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.007, 0.022, 0.05, 0.117, 0.321, 0.328, 0.117, 0.028, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-11T08:17:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.009, 0.026, 0.088, 0.207, 0.306, 0.218, 0.104, 0.031, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-12T10:21:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.007, 0.009, 0.022, 0.049, 0.158, 0.284, 0.268, 0.139, 0.051, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-13T09:01:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.006, 0.009, 0.016, 0.051, 0.105, 0.148, 0.243, 0.27, 0.121, 0.025, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-14T10:11:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.006, 0.014, 0.045, 0.101, 0.186, 0.265, 0.228, 0.107, 0.036, 0.008, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-15T09:43:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.006, 0.005, 0.011, 0.038, 0.109, 0.209, 0.303, 0.228, 0.064, 0.019, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-03-16T09:08:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.005, 0.012, 0.036, 0.124, 0.236, 0.28, 0.212, 0.072, 0.013, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
