timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-09-02T09:53:00,17.2,2.0,10.758,-1.0,0.0,0.0,17.2,2.0,10.758,15.6,0.4,3.301
2022-09-03T09:18:30,17.6,0.8,7.169,17.6,0.8,7.169,16.6,2.4,7.088,-1.0,0.0,2.105
2022-09-04T08:35:00,17.8,1.1,4.007,17.8,1.1,4.007,17.4,1.8,9.817,-1.0,0.0,2.408
2022-09-06T08:57:30,17.8,2.2,9.081,-1.0,0.0,0.0,17.8,2.2,9.081,-1.0,0.0,2.232
2022-09-07T08:41:30,18.4,1.9,5.934,18.4,1.9,5.934,18.4,2.3,8.138,-1.0,0.0,2.052
2022-09-07T17:17:30,18.6,1.1,5.695,-1.0,0.0,2.176,18.6,1.1,5.695,-1.0,0.0,2.214
2022-09-08T09:32:30,17.4,1.9,11.6,-1.0,0.0,2.141,17.4,1.9,11.6,-1.0,0.0,2.424
2022-09-08T16:03:30,18.6,1.9,8.925,-1.0,0.0,1.893,18.6,1.9,8.925,-1.0,0.0,2.024
2022-09-09T16:13:30,18.0,2.3,7.191,-1.0,0.0,1.929,18.0,2.3,7.191,-1.0,0.0,2.065
2022-09-10T08:19:30,0.0,0.0,2.184,-1.0,0.0,2.184,-1.0,0.0,1.207,-1.0,0.0,1.961
2022-09-11T06:35:30,9.8,0.8,2.676,9.8,0.8,2.676,29.8,0.2,3.76,-1.0,0.0,1.295
2022-09-11T08:15:30,29.6,0.3,3.24,-1.0,0.0,1.801,29.6,0.3,3.24,-1.0,0.0,1.324
2022-09-11T16:24:30,0.0,0.0,2.289,-1.0,0.0,2.289,-1.0,0.0,2.444,-1.0,0.0,2.063
2022-09-12T08:59:30,0.0,0.0,1.254,-1.0,0.0,1.254,-1.0,0.0,1.923,-1.0,0.0,1.162
2022-09-12T17:22:00,17.4,2.2,7.089,11.2,2.6,3.315,17.4,2.2,7.089,-1.0,0.0,0.0
2022-09-13T09:05:00,16.8,2.1,5.675,10.2,0.5,2.652,16.8,2.1,5.675,8.6,0.8,2.565
2022-09-14T09:25:30,17.0,1.8,5.95,15.4,2.0,3.687,17.0,1.8,5.95,15.0,0.5,2.753
2022-09-15T11:05:00,17.2,2.8,6.161,10.0,1.1,2.815,17.2,2.8,6.161,-1.0,0.0,2.335
2022-09-15T17:08:00,16.2,1.1,4.739,17.4,0.5,2.577,16.2,1.1,4.739,-1.0,0.0,0.0
2022-09-16T10:28:30,17.0,2.4,5.934,17.4,0.9,2.651,17.0,2.4,5.934,-1.0,0.0,2.366
