timestamp,Infrared to Red Signal Ratio
12/16/22 00:50:30,0
12/16/22 00:51:30,-53
12/16/22 00:52:30,-13
12/16/22 00:53:30,4
12/16/22 00:54:30,-64
12/16/22 00:55:30,22
12/16/22 00:56:30,-9
12/16/22 00:57:30,-30
12/16/22 00:58:30,2
12/16/22 00:59:30,-5
12/16/22 01:00:30,26
12/16/22 01:01:30,3
12/16/22 01:02:30,-11
12/16/22 01:03:30,-23
12/16/22 01:04:30,3
12/16/22 01:05:30,-4
12/16/22 01:06:30,-5
12/16/22 01:07:30,0
12/16/22 01:08:30,0
12/16/22 01:09:30,0
12/16/22 01:10:30,0
12/16/22 01:11:30,10
12/16/22 01:12:30,-10
12/16/22 01:13:30,1
12/16/22 01:14:30,-4
12/16/22 01:15:30,-2
12/16/22 01:16:30,0
12/16/22 01:17:30,-2
12/16/22 01:18:30,0
12/16/22 01:19:30,18
12/16/22 01:20:30,6
12/16/22 01:21:30,-8
12/16/22 01:22:30,-28
12/16/22 01:23:30,-56
12/16/22 01:24:30,-13
12/16/22 01:25:30,-2
12/16/22 01:26:30,4
12/16/22 01:27:30,-13
12/16/22 01:28:30,0
12/16/22 01:29:30,-41
12/16/22 01:30:30,0
12/16/22 01:31:30,1
12/16/22 01:32:30,21
12/16/22 01:33:30,-4
12/16/22 01:34:30,-30
12/16/22 01:35:30,-17
12/16/22 01:36:30,-8
12/16/22 01:37:30,0
12/16/22 01:38:30,30
12/16/22 01:39:30,-16
12/16/22 01:40:30,-1
12/16/22 01:41:30,-4
12/16/22 01:42:30,7
12/16/22 01:43:30,0
12/16/22 01:44:30,3
12/16/22 01:45:30,-41
12/16/22 01:46:30,0
12/16/22 01:47:30,1
12/16/22 01:48:30,0
12/16/22 01:49:30,-12
12/16/22 01:50:30,0
12/16/22 01:51:30,0
12/16/22 01:52:30,-5
12/16/22 01:53:30,2
12/16/22 01:54:30,0
12/16/22 01:55:30,10
12/16/22 01:56:30,0
12/16/22 01:57:30,0
12/16/22 01:58:30,0
12/16/22 01:59:30,0
12/16/22 02:00:30,0
12/16/22 02:01:30,0
12/16/22 02:02:30,0
12/16/22 02:03:30,0
12/16/22 02:04:30,0
12/16/22 02:05:30,0
12/16/22 02:06:30,-22
12/16/22 02:07:30,0
12/16/22 02:08:30,-5
12/16/22 02:09:30,0
12/16/22 02:10:30,-14
12/16/22 02:11:30,-36
12/16/22 02:12:30,0
12/16/22 02:13:30,-27
12/16/22 02:14:30,-21
12/16/22 02:15:30,0
12/16/22 02:16:30,8
12/16/22 02:17:30,-9
12/16/22 02:18:30,-38
12/16/22 02:19:30,-14
12/16/22 02:20:30,-4
12/16/22 02:21:30,0
12/16/22 02:22:30,-43
12/16/22 02:23:30,-34
12/16/22 02:24:30,0
12/16/22 02:25:30,0
12/16/22 02:26:30,6
12/16/22 02:27:31,0
12/16/22 02:28:31,0
12/16/22 02:29:31,0
12/16/22 02:30:31,-3
12/16/22 02:31:31,-11
12/16/22 02:32:31,19
12/16/22 02:33:31,23
12/16/22 02:34:31,-1
12/16/22 02:35:31,10
12/16/22 02:36:31,5
12/16/22 02:37:31,-8
12/16/22 02:38:31,0
12/16/22 02:39:31,4
12/16/22 02:40:31,40
12/16/22 02:41:31,-3
12/16/22 02:42:31,2
12/16/22 02:43:31,2
12/16/22 02:44:31,-17
12/16/22 02:45:31,-10
12/16/22 02:46:31,33
12/16/22 02:47:31,-6
12/16/22 02:48:31,0
12/16/22 02:49:31,8
12/16/22 02:50:31,11
12/16/22 02:51:31,8
12/16/22 02:52:33,-12
12/16/22 02:53:33,-8
12/16/22 02:54:33,15
12/16/22 02:55:33,0
12/16/22 02:56:33,4
12/16/22 02:57:33,25
12/16/22 02:58:33,-12
12/16/22 02:59:33,0
12/16/22 03:00:33,-1
12/16/22 03:01:33,-2
12/16/22 03:02:33,3
12/16/22 03:03:33,30
12/16/22 03:04:33,-7
12/16/22 03:05:33,-27
12/16/22 03:06:33,-1
12/16/22 03:07:33,0
12/16/22 03:08:33,0
12/16/22 03:09:33,0
12/16/22 03:10:33,28
12/16/22 03:11:33,0
12/16/22 03:12:33,0
12/16/22 03:13:33,9
12/16/22 03:14:33,4
12/16/22 03:15:33,-5
12/16/22 03:16:33,-26
12/16/22 03:17:33,-17
12/16/22 03:18:33,0
12/16/22 03:19:33,0
12/16/22 03:20:33,4
12/16/22 03:21:33,5
12/16/22 03:22:33,4
12/16/22 03:23:33,-6
12/16/22 03:24:33,-35
12/16/22 03:25:33,4
12/16/22 03:26:33,-39
12/16/22 03:27:33,6
12/16/22 03:28:33,-45
12/16/22 03:29:33,-36
12/16/22 03:30:33,10
12/16/22 03:31:33,3
12/16/22 03:32:33,0
12/16/22 03:33:33,0
12/16/22 03:34:33,0
12/16/22 03:35:33,0
12/16/22 03:36:33,-3
12/16/22 03:37:33,0
12/16/22 03:38:33,-10
12/16/22 03:39:33,0
12/16/22 03:40:33,31
12/16/22 03:41:33,5
12/16/22 03:42:33,21
12/16/22 03:43:33,-8
12/16/22 03:44:33,-4
12/16/22 03:45:33,-10
12/16/22 03:46:33,-6
12/16/22 03:47:35,-4
12/16/22 03:48:35,-2
12/16/22 03:49:35,0
12/16/22 03:50:35,7
12/16/22 03:51:35,10
12/16/22 03:52:35,9
12/16/22 03:53:35,1
12/16/22 03:54:35,13
12/16/22 03:55:35,-1
12/16/22 03:56:35,0
12/16/22 03:57:35,0
12/16/22 03:58:35,-15
12/16/22 03:59:37,-30
12/16/22 04:00:37,5
12/16/22 04:01:37,-4
12/16/22 04:02:37,0
12/16/22 04:03:37,8
12/16/22 04:04:37,29
12/16/22 04:05:37,0
12/16/22 04:06:37,0
12/16/22 04:07:37,6
12/16/22 04:08:37,13
12/16/22 04:09:37,4
12/16/22 04:10:37,43
12/16/22 04:11:37,-5
12/16/22 04:12:37,-6
12/16/22 04:13:37,8
12/16/22 04:14:37,-16
12/16/22 04:15:37,0
12/16/22 04:16:37,7
12/16/22 04:17:37,39
12/16/22 04:18:37,1
12/16/22 04:19:38,46
12/16/22 04:20:38,0
12/16/22 04:21:38,11
12/16/22 04:22:38,-61
12/16/22 04:23:38,-9
12/16/22 04:24:38,-16
12/16/22 04:25:40,-17
12/16/22 04:26:40,-2
12/16/22 04:27:40,3
12/16/22 04:28:40,0
12/16/22 04:29:40,0
12/16/22 04:30:40,-6
12/16/22 04:31:40,0
12/16/22 04:32:40,0
12/16/22 04:33:40,-1
12/16/22 04:34:40,2
12/16/22 04:35:40,-30
12/16/22 04:36:40,7
12/16/22 04:37:40,45
12/16/22 04:38:40,-7
12/16/22 04:39:40,2
12/16/22 04:40:40,-15
12/16/22 04:41:40,0
12/16/22 04:42:40,0
12/16/22 04:43:40,18
12/16/22 04:44:40,-27
12/16/22 04:45:40,0
12/16/22 04:46:40,-3
12/16/22 04:47:40,15
12/16/22 04:48:40,37
12/16/22 04:49:40,0
12/16/22 04:50:40,0
12/16/22 04:51:40,35
12/16/22 04:52:40,-5
12/16/22 04:53:40,13
12/16/22 04:54:40,-8
12/16/22 04:55:40,-8
12/16/22 04:56:40,2
12/16/22 04:57:40,0
12/16/22 04:58:40,0
12/16/22 04:59:40,0
12/16/22 05:00:40,-18
12/16/22 05:01:40,4
12/16/22 05:02:40,3
12/16/22 05:03:40,22
12/16/22 05:04:40,-8
12/16/22 05:05:40,10
12/16/22 05:06:40,0
12/16/22 05:07:40,13
12/16/22 05:08:40,4
12/16/22 05:09:40,0
12/16/22 05:10:40,0
12/16/22 05:11:40,0
12/16/22 05:12:40,28
12/16/22 05:13:40,0
12/16/22 05:14:40,-3
12/16/22 05:15:40,0
12/16/22 05:16:40,-7
12/16/22 05:17:40,7
12/16/22 05:18:40,28
12/16/22 05:19:40,3
12/16/22 05:20:41,8
12/16/22 05:21:41,-9
12/16/22 05:22:41,2
12/16/22 05:23:41,0
12/16/22 05:24:41,1
12/16/22 05:25:41,0
12/16/22 05:26:41,-12
12/16/22 05:27:41,32
12/16/22 05:28:41,0
12/16/22 05:29:41,4
12/16/22 05:30:41,20
