type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2022-07-31T23:54,2022-08-01T08:53:30,535,32.154392523364486,0.0,2138.7671775701456,0.354059214558609,1.672819537899961
IDT,2022-08-01T23:41,2022-08-02T09:15:30,575,31.882782608695653,-136.69337372310474,1942.9753363821656,0.3336741322587875,1.721937742055196
IDT,2022-08-03T00:27,2022-08-03T09:44:30,558,32.003405017921146,-46.438372093023645,756.7682659546845,0.30666517640919955,1.6216804723922287
IDT,2022-08-04T00:56,2022-08-04T08:21:30,443,32.32076749435666,88.71397467942006,245.914558247081,0.29600499904129146,1.5279069774583915
IDT,2022-08-05T00:21:30,2022-08-05T09:01:30,507,31.907692307692308,-90.7203488372088,2194.2130999865476,0.28526365648719326,1.616721424399094
IDT,2022-08-06T00:16:30,2022-08-06T03:32:30,180,32.93722222222222,147.0081612692893,1010.6639415543759,0.3794693638603807,1.6596453912744966
IDT,2022-08-06T22:59:30,2022-08-07T09:19,614,31.96824104234528,-72.68953488372063,2997.6161864518654,0.365371282787783,1.7466812354729015
IDT,2022-08-07T23:15,2022-08-08T09:21:30,606,32.09273927392739,1.8517441860458348,1429.7537111495622,0.34885387473607254,1.7226503447799884
IDT,2022-08-09T00:22:30,2022-08-09T09:04:30,522,32.55402298850575,240.7900990099006,1034.2691030288115,0.35219293269995866,1.694647348977918
IDT,2022-08-10T01:18,2022-08-10T09:46:30,496,30.864314516129035,-607.7830608642253,3763.0969336158596,0.48841927821002856,1.8053014823555735
IDT,2022-08-11T00:35,2022-08-11T10:02:30,568,32.30598591549296,121.12409240924171,1550.8089538060594,0.474004586460151,1.7931004760780231
IDT,2022-08-12T01:21,2022-08-12T08:52:30,452,32.727212389380526,272.848213812038,860.5791543815285,0.48382567564428175,1.769694776564831
IDT,2022-08-13T00:21:30,2022-08-13T07:46:30,444,32.37882882882883,99.64971962616983,888.306005904451,0.47198179897332593,1.7505517054941273
IDT,2022-08-14T15:01,2022-08-14T18:20,199,32.082914572864325,-8.089613830541566,327.0107630750281,0.45820972772542623,1.740058633663155
IDT,2022-08-15T00:00,2022-08-15T09:37:30,578,32.724913494809684,329.76112149532855,726.5768810550217,0.4643224362761157,1.7032158459128062
IDT,2022-08-16T00:44,2022-08-16T10:24:30,581,31.579173838209982,-316.2917871132886,1421.6047411279287,0.4715938694714781,1.6953734543161794
IDT,2022-08-17T00:29,2022-08-17T07:59:30,437,31.49633867276888,-260.6270627062713,1612.6122787524946,0.48137910165989906,1.7067659859266904
IDT,2022-08-17T23:46,2022-08-18T08:37:30,532,31.762593984962404,-174.01167012050064,1882.7430288309697,0.47593069432314145,1.7165006632379431
IDT,2022-08-18T22:41,2022-08-19T09:16,604,31.866225165562916,-133.1232558139527,1454.0517239049077,0.46762667389387735,1.707184716334789
IDT,2022-08-20T15:00,2022-08-20T18:45:30,223,31.24304932735426,-187.7039865022798,1140.9012849724386,0.48920626726882693,1.720181613891972
IDT,2022-08-21T00:42,2022-08-21T08:37:30,476,32.523319327731095,207.8651162790702,2019.2640684153885,0.48785205514249474,1.736516907727148
IDT,2022-08-22T00:25:30,2022-08-22T09:17,531,32.30696798493408,115.37801346995184,573.25406024931,0.4801197283899404,1.711120462878156
IDT,2022-08-23T00:43,2022-08-23T09:43:30,541,31.93253234750462,-83.36569767442052,1156.6737145080697,0.47171894307804935,1.7007772321918413
IDT,2022-08-24T02:16,2022-08-24T08:44,384,30.96640625,-429.45215612948414,1800.1008968860842,0.50850201219373,1.7159597385019987
IDT,2022-08-25T00:10,2022-08-25T12:42:30,753,31.45790172642762,-470.63467336683607,3527.5482015605085,0.5109174757843074,1.7428973144242617
IDT,2022-08-26T01:17:30,2022-08-26T09:58:30,508,32.07047244094488,-1.8189894035458565E-12,956.9370866139652,0.5097779353308272,1.7308016658635266
IDT,2022-08-27T00:41,2022-08-27T09:43:30,543,31.76961325966851,-163.36653543306966,1728.0789408828132,0.5066684870269605,1.7323256025833893
IDT,2022-08-29T00:46:30,2022-08-29T08:50,483,32.12277432712215,25.261811023621703,1601.810722766444,0.49371941778433415,1.7486377666162887
IDT,2022-08-30T01:00,2022-08-30T11:47:30,648,32.19305555555555,79.43385826771555,1623.9359997517895,0.49475705566888556,1.7451583109013882
IDT,2022-08-31T00:53,2022-08-31T13:40:30,768,31.808072916666667,-150.01505376343994,2378.552703588037,0.49524555055367336,1.7354487186771421
