timestamp,rmssd,coverage,low_frequency,high_frequency
2022-10-11T00:05:00,42.372,0.923,440.478,286.718
2022-10-11T00:10:00,38.479,0.889,215.821,181.664
2022-10-11T00:15:00,30.366,0.984,290.606,155.772
2022-10-11T00:20:00,30.476,0.997,393.841,157.568
2022-10-11T00:25:00,28.367,1.004,491.894,145.63
2022-10-11T00:30:00,29.888,1.001,629.819,135.354
2022-10-11T00:35:00,28.242,0.973,249.015,161.068
2022-10-11T00:40:00,26.914,1.002,380.618,164.077
2022-10-11T00:45:00,27.786,0.965,1036.45,157.32
2022-10-11T00:50:00,32.442,1.002,259.141,248.535
2022-10-11T00:55:00,29.904,1.004,677.63,212.397
2022-10-11T01:00:00,28.222,0.994,168.529,139.883
2022-10-11T01:05:00,31.83,0.926,647.597,171.893
2022-10-11T01:10:00,35.937,1.004,3345.046,165.472
2022-10-11T01:15:00,34.957,0.833,2878.487,141.032
2022-10-11T01:20:00,26.691,0.988,1390.97,116.557
2022-10-11T01:25:00,19.898,1.003,87.37,54.094
2022-10-11T01:30:00,27.535,0.979,1053.637,127.199
2022-10-11T01:35:00,25.237,1.002,586.258,88.493
2022-10-11T01:40:00,27.032,0.965,546.175,122.968
2022-10-11T01:45:00,25.269,0.949,2186.407,141.051
2022-10-11T01:50:00,30.516,1.006,5600.516,166.352
2022-10-11T01:55:00,19.782,0.974,1826.95,71.609
2022-10-11T02:00:00,16.685,1.004,89.29,35.182
2022-10-11T02:05:00,21.554,0.921,1546.353,153.751
2022-10-11T02:10:00,16.718,1.003,181.746,61.681
2022-10-11T02:15:00,23.761,0.995,1269.027,117.472
2022-10-11T02:20:00,18.515,0.984,101.937,54.428
2022-10-11T02:25:00,18.473,0.986,388.404,71.503
2022-10-11T02:30:00,16.558,0.971,155.433,47.403
2022-10-11T02:35:00,30.018,0.889,582.798,119.112
2022-10-11T02:40:00,34.862,0.924,1482.597,229.555
2022-10-11T02:45:00,37.03,0.931,2049.662,249.408
2022-10-11T02:50:00,33.705,0.938,615.342,150.501
2022-10-11T02:55:00,30.59,0.979,579.382,146.709
2022-10-11T03:00:00,23.367,1.004,259.749,81.499
2022-10-11T03:05:00,30.966,1.005,959.043,165.027
2022-10-11T03:10:00,37.368,0.884,2319.913,287.528
2022-10-11T03:15:00,35.579,0.93,2663.208,169.452
2022-10-11T03:20:00,37.438,0.97,1060.953,291.229
2022-10-11T03:25:00,42.552,1.002,1693.573,235.241
2022-10-11T03:30:00,33.732,1.003,296.286,177.929
2022-10-11T03:35:00,34.022,0.951,1228.871,243.764
2022-10-11T03:40:00,30.991,0.996,653.854,158.148
2022-10-11T03:45:00,31.231,0.878,2211.578,162.089
2022-10-11T03:50:00,30.76,0.985,1935.083,127.123
2022-10-11T03:55:00,21.237,1.002,505.703,82.666
2022-10-11T04:00:00,17.398,1.004,119.563,40.645
2022-10-11T04:05:00,19.761,0.992,89.885,48.032
2022-10-11T04:10:00,22.275,1.003,152.915,72.323
2022-10-11T04:15:00,24.0,0.928,335.179,76.027
2022-10-11T04:20:00,22.733,0.997,476.515,97.359
2022-10-11T04:25:00,23.92,1.003,389.83,76.107
2022-10-11T04:30:00,28.659,0.931,1076.821,143.512
2022-10-11T04:35:00,32.22,0.904,1750.225,304.08
2022-10-11T04:40:00,29.079,0.957,312.609,131.679
2022-10-11T04:45:00,31.767,0.994,206.058,159.697
2022-10-11T04:50:00,33.777,1.005,1743.474,171.065
2022-10-11T04:55:00,22.188,1.003,170.809,66.169
2022-10-11T05:00:00,22.402,1.006,118.273,67.44
2022-10-11T05:05:00,22.948,1.003,382.882,106.173
2022-10-11T05:10:00,24.722,0.997,589.554,94.377
2022-10-11T05:15:00,32.124,0.96,1846.075,174.694
2022-10-11T05:20:00,31.037,1.001,622.404,126.702
2022-10-11T05:25:00,31.741,0.934,590.126,122.814
2022-10-11T05:30:00,28.91,0.935,1964.662,103.116
2022-10-11T05:35:00,29.173,0.949,1199.52,140.939
2022-10-11T05:40:00,30.437,0.936,1237.002,116.647
2022-10-11T05:45:00,30.281,0.967,933.477,161.749
2022-10-11T05:50:00,25.17,0.988,185.927,97.977
2022-10-11T05:55:00,33.397,0.968,1911.021,154.842
2022-10-11T06:00:00,29.203,0.88,1069.646,140.197
2022-10-11T06:05:00,29.726,0.994,704.62,117.584
2022-10-11T06:10:00,35.341,1.001,842.613,208.967
2022-10-11T06:15:00,32.419,1.004,282.134,140.166
2022-10-11T06:20:00,34.7,0.921,976.054,149.423
2022-10-11T06:25:00,27.178,1.003,169.236,107.141
2022-10-11T06:30:00,23.988,1.003,282.892,81.722
2022-10-11T06:35:00,30.475,0.996,507.509,200.845
2022-10-11T06:40:00,35.01,1.004,1245.722,279.314
2022-10-11T06:45:00,38.492,1.004,822.198,337.15
2022-10-11T06:55:00,26.91,0.925,384.43,118.005
2022-10-11T07:00:00,26.592,1.003,267.996,148.732
2022-10-11T07:05:00,30.317,0.996,698.73,242.101
2022-10-11T07:10:00,28.701,0.995,121.017,161.501
2022-10-11T07:15:00,28.485,0.925,977.94,139.438
2022-10-11T07:20:00,31.052,0.984,599.156,179.609
2022-10-11T07:25:00,29.648,0.939,273.41,95.201
2022-10-11T07:35:00,35.798,0.986,2960.636,512.193
2022-10-11T07:40:00,41.127,0.994,1779.585,331.088
2022-10-11T07:45:00,33.323,0.901,123.982,148.679
2022-10-11T07:50:00,38.298,1.003,487.645,226.855
2022-10-11T07:55:00,38.035,1.005,283.282,218.795
2022-10-11T08:00:00,34.348,0.893,2543.673,239.733
2022-10-11T08:05:00,39.39,0.9,1435.268,228.953
2022-10-11T08:10:00,38.578,0.949,1466.634,174.334
2022-10-11T08:15:00,40.468,0.803,1225.289,310.402
2022-10-11T08:20:00,37.497,0.863,1540.858,183.957
2022-10-11T08:25:00,35.746,0.97,1424.377,236.663
2022-10-11T08:30:00,37.816,0.978,2160.657,278.237
2022-10-11T08:35:00,28.722,0.996,530.276,137.453
2022-10-11T08:40:00,32.297,0.968,477.311,159.029
2022-10-11T08:45:00,36.154,1.002,2480.879,241.696
2022-10-11T08:50:00,39.987,0.922,669.751,253.069
2022-10-11T08:55:00,29.153,0.942,1766.81,156.411
2022-10-11T09:00:00,36.186,0.877,1057.413,176.699
2022-10-11T09:05:00,30.339,0.937,1466.669,180.006
2022-10-11T09:10:00,22.598,1.003,163.562,85.368
2022-10-11T09:15:00,19.231,1.002,134.34,47.15
2022-10-11T09:20:00,33.734,0.982,1178.72,242.273
2022-10-11T09:25:00,26.154,1.003,177.984,65.403
2022-10-11T09:30:00,24.849,0.969,644.647,122.015
2022-10-11T09:35:00,34.695,0.973,4397.648,210.724
2022-10-11T09:40:00,31.08,0.954,1463.74,144.769
2022-10-11T09:45:00,39.427,0.988,866.146,229.773
2022-10-11T09:50:00,42.107,0.951,1033.635,303.523
2022-10-11T09:55:00,33.66,0.984,1383.632,231.839
2022-10-11T10:00:00,29.884,0.989,678.892,201.143
2022-10-11T10:05:00,29.306,0.973,2065.98,120.417
