timestamp,bucket_values
2022-09-02T09:53:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.008, 0.018, 0.054, 0.161, 0.322, 0.256, 0.122, 0.044, 0.01, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-09-03T09:18:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.005, 0.016, 0.052, 0.11, 0.229, 0.303, 0.199, 0.07, 0.013, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-09-04T08:35:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.009, 0.046, 0.148, 0.259, 0.215, 0.178, 0.115, 0.026, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-09-06T08:57:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.016, 0.055, 0.184, 0.323, 0.25, 0.127, 0.037, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-09-07T08:41:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.011, 0.056, 0.174, 0.365, 0.273, 0.097, 0.019, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-09-07T17:17:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-09-08T09:32:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.014, 0.047, 0.078, 0.188, 0.334, 0.252, 0.074, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-09-08T16:03:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-09-09T16:13:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-09-10T08:19:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.006, 0.015, 0.054, 0.22, 0.361, 0.257, 0.075, 0.01, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
