timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-11-01T10:29:30,18.0,2.7,6.431,-1.0,0.0,2.44,18.0,2.7,6.431,-1.0,0.0,2.108
2022-11-02T10:14:30,19.0,0.9,3.034,19.0,0.9,3.034,-1.0,0.0,2.445,-1.0,0.0,2.053
2022-11-03T09:05:30,18.2,2.3,6.835,14.8,0.4,2.8,18.2,2.3,6.835,8.2,0.5,2.711
2022-11-04T09:44:00,17.8,2.1,5.218,-1.0,0.0,2.367,17.8,2.1,5.218,22.0,0.5,4.18
2022-11-06T09:13:30,17.8,2.7,9.802,-1.0,0.0,1.95,17.8,2.7,9.802,17.6,2.2,5.483
2022-11-07T09:07:00,18.0,2.6,7.111,-1.0,0.0,2.226,18.0,2.6,7.111,-1.0,0.0,1.441
2022-11-08T10:28:30,17.2,1.8,7.329,17.2,1.8,7.329,-1.0,0.0,2.364,-1.0,0.0,2.213
2022-11-09T08:56:00,17.4,2.4,6.033,-1.0,0.0,2.341,17.4,2.4,6.033,-1.0,0.0,2.279
2022-11-10T09:30:30,17.0,2.4,8.305,-1.0,0.0,2.083,17.0,2.4,8.305,10.2,0.6,2.851
2022-11-11T11:04:00,17.6,2.1,8.448,-1.0,0.0,1.86,17.6,2.1,8.448,8.4,0.4,2.581
2022-11-12T09:33:30,17.4,1.8,4.984,8.6,0.6,3.041,17.4,1.8,4.984,-1.0,0.0,1.66
2022-11-12T11:12:00,18.4,2.7,8.265,-1.0,0.0,2.383,18.4,2.7,8.265,-1.0,0.0,1.69
2022-11-14T08:32:30,17.6,2.7,8.644,-1.0,0.0,2.402,17.6,2.7,8.644,10.0,0.7,2.771
2022-11-15T10:09:00,17.2,2.5,8.468,-1.0,0.0,2.403,17.2,2.5,8.468,-1.0,0.0,2.236
2022-11-17T11:26:00,18.0,1.9,6.389,20.6,0.4,3.189,18.0,1.9,6.389,-1.0,0.0,1.844
2022-11-18T10:22:00,17.4,2.3,8.128,18.6,0.8,3.209,17.4,2.3,8.128,-1.0,0.0,1.506
2022-11-19T07:56:00,18.0,2.4,8.351,-1.0,0.0,1.764,18.0,2.4,8.351,-1.0,0.0,2.264
2022-11-20T11:38:30,17.0,2.9,7.217,-1.0,0.0,1.357,17.0,2.9,7.217,-1.0,0.0,1.303
2022-11-21T10:00:00,17.2,2.1,7.874,-1.0,0.0,2.251,17.2,2.1,7.874,-1.0,0.0,2.271
2022-11-22T09:31:30,18.4,2.8,7.357,-1.0,0.0,2.158,18.4,2.8,7.357,-1.0,0.0,1.443
2022-11-23T09:13:30,17.4,1.9,8.188,-1.0,0.0,2.163,17.4,1.9,8.188,-1.0,0.0,2.036
2022-11-24T10:48:30,18.0,2.3,10.049,-1.0,0.0,1.907,18.0,2.3,10.049,-1.0,0.0,1.759
2022-11-25T11:08:00,17.2,2.3,9.645,-1.0,0.0,2.315,17.2,2.3,9.645,22.4,0.7,2.572
2022-11-26T09:55:30,17.2,2.2,5.981,-1.0,0.0,1.719,17.2,2.2,5.981,-1.0,0.0,1.716
2022-11-27T11:23:00,18.8,1.5,4.594,18.8,1.5,4.594,17.4,2.7,12.498,-1.0,0.0,1.468
2022-11-28T10:09:30,17.2,2.3,7.349,-1.0,0.0,2.069,17.2,2.3,7.349,-1.0,0.0,2.135
2022-11-30T09:49:00,18.0,1.7,4.553,18.0,1.7,4.553,17.2,2.0,5.654,-1.0,0.0,2.154
