logId,dateOfSleep,startTime,endTime,duration
39864237613,2023-01-19,2023-01-19T00:02:00.000,2023-01-19T08:52:30.000,31800000
39856930520,2023-01-18,2023-01-18T12:43:00.000,2023-01-18T15:35:30.000,10320000
39852864313,2023-01-18,2023-01-18T00:20:00.000,2023-01-18T09:01:30.000,31260000
39842084243,2023-01-17,2023-01-16T23:31:00.000,2023-01-17T09:59:30.000,37680000
39828682205,2023-01-16,2023-01-16T00:40:00.000,2023-01-16T09:37:30.000,32220000
39816331862,2023-01-15,2023-01-15T00:08:30.000,2023-01-15T09:21:30.000,33180000
39803089397,2023-01-14,2023-01-13T23:49:30.000,2023-01-14T09:13:00.000,33780000
39791287246,2023-01-13,2023-01-12T23:32:00.000,2023-01-13T08:47:00.000,33300000
39784219573,2023-01-12,2023-01-12T15:54:30.000,2023-01-12T17:13:30.000,4740000
39767638651,2023-01-11,2023-01-11T00:04:30.000,2023-01-11T08:51:30.000,31620000
39755209800,2023-01-10,2023-01-10T00:06:00.000,2023-01-10T09:02:00.000,32160000
39741151060,2023-01-09,2023-01-09T00:02:00.000,2023-01-09T09:31:30.000,34140000
39728140612,2023-01-08,2023-01-07T23:07:30.000,2023-01-08T09:24:30.000,37020000
39716688910,2023-01-07,2023-01-07T00:58:30.000,2023-01-07T08:58:30.000,28800000
39704423527,2023-01-06,2023-01-06T00:19:00.000,2023-01-06T10:04:30.000,35100000
39690817507,2023-01-05,2023-01-05T00:11:00.000,2023-01-05T09:03:30.000,31920000
39680679573,2023-01-04,2023-01-04T14:43:00.000,2023-01-04T16:24:30.000,6060000
39677561403,2023-01-04,2023-01-03T23:06:30.000,2023-01-04T08:59:00.000,35520000
39665385606,2023-01-03,2023-01-02T23:07:00.000,2023-01-03T08:53:00.000,35160000
39656036350,2023-01-02,2023-01-02T15:40:00.000,2023-01-02T16:51:30.000,4260000
39653336932,2023-01-02,2023-01-02T00:01:30.000,2023-01-02T10:40:30.000,38340000
39636740473,2023-01-01,2023-01-01T01:03:30.000,2023-01-01T10:34:30.000,34260000
39625933076,2022-12-31,2022-12-30T23:17:30.000,2022-12-31T09:01:30.000,35040000
39615981505,2022-12-30,2022-12-30T00:22:00.000,2022-12-30T08:36:30.000,29640000
39549523565,2022-12-24,2022-12-24T00:28:00.000,2022-12-24T08:46:30.000,29880000
39541738197,2022-12-23,2022-12-23T14:25:00.000,2022-12-23T16:41:30.000,8160000
39537981372,2022-12-23,2022-12-23T00:13:30.000,2022-12-23T08:10:30.000,28620000
39526403723,2022-12-22,2022-12-21T23:23:30.000,2022-12-22T08:04:30.000,31260000
39517104911,2022-12-21,2022-12-20T23:42:30.000,2022-12-21T09:01:30.000,33540000
39505149127,2022-12-20,2022-12-20T00:01:30.000,2022-12-20T09:50:00.000,35280000
40254944542,2023-02-18,2023-02-18T00:34:30.000,2023-02-18T11:12:30.000,38280000
40241309242,2023-02-17,2023-02-17T00:04:00.000,2023-02-17T08:30:00.000,30360000
40226090539,2023-02-16,2023-02-15T23:53:30.000,2023-02-16T08:46:30.000,31980000
40209980419,2023-02-15,2023-02-14T23:33:00.000,2023-02-15T10:04:30.000,37860000
40200439251,2023-02-14,2023-02-14T13:28:30.000,2023-02-14T15:52:30.000,8640000
40195063572,2023-02-14,2023-02-13T23:29:00.000,2023-02-14T07:51:00.000,30120000
