DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2022-07-29T00:00:00,2022-07-29T12:31:03.525,64,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-07-31T00:00:00,2022-07-31T21:39:27.047,72,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-01T00:00:00,2022-08-01T12:54:12.272,80,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-02T00:00:00,2022-08-02T20:28:36.307,72,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-03T00:00:00,2022-08-04T12:23:16.489,72,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-04T00:00:00,2022-08-04T12:22:37.317,70,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-05T00:00:00,2022-08-05T13:02:54.526,74,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-06T00:00:00,2022-08-06T07:33:17.604,61,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-07T00:00:00,2022-08-07T13:36:10.142,87,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-08T00:00:00,2022-08-08T22:04:14.98,66,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-09T00:00:00,2022-08-09T23:34:33.884,70,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-10T00:00:00,2022-08-10T13:47:16.23,76,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-11T00:00:00,2022-08-11T14:22:17.884,77,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-12T00:00:00,2022-08-12T13:07:00.855,72,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-13T00:00:00,2022-08-13T11:47:24.675,70,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-14T00:00:00,2022-08-14T22:43:26.47,73,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-15T00:00:00,2022-08-15T19:42:14.66,0,0,0,0,0,0,0,NO_DATA,true
2022-08-16T00:00:00,2022-08-16T14:37:56.818,77,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-17T00:00:00,2022-08-17T12:00:05.517,75,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-18T00:00:00,2022-08-19T03:47:39.95,70,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-19T00:00:00,2022-08-19T21:18:03.763,68,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-20T00:00:00,2022-08-20T23:24:47.5,74,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-21T00:00:00,2022-08-21T13:00:43.041,84,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-22T00:00:00,2022-08-22T13:34:16.772,76,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-23T00:00:00,2022-08-23T23:13:00.932,73,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-24T00:00:00,2022-08-24T13:05:28.397,73,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-25T00:00:00,2022-08-25T17:19:06.89,71,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-26T00:00:00,2022-08-26T13:59:25.188,72,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-08-27T00:00:00,2022-08-28T04:35:55.836,84,0,0,0,0,0,0,READY_NOT_PREMIUM,false
